id_paper,titulo,autores,year,journal,doi,url,abstract,fuente
SRC_001,"Investigating the interaction between dietary polyphenols, the SARS CoV-2 spike protein and the ACE-2 receptor","Dorothea Schmidt, Inamullah Hakeem Said, Nicholas Ohl, Mobinasaddat Sharifii, Paula Cotrell, Nikolai Kuhnert",2022,Food &amp; Function,10.1039/d2fo00394e,https://doi.org/10.1039/d2fo00394e,"The global spread of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has called for an urgent need for the identification of compounds able to control, prevent or slow down the global pandemic. Several dietary polyphenols were assayed against binding to the SARS CoV-2 S1 spike protein and the human ACE-2 receptor, the target of the SARS CoV-2 virus using nano differential scanning fluorimetry, suggesting interaction of dietary polyphenols with both proteins. Following this initial screening the two dietary polyphenols with the strongest affinity were evaluated in a second functional binding assay. The assay was based on the thermophoresis of a fluorescently labelled spike protein and the ACE-2 receptor in the presence of dietary concentrations of the polyphenol in question. It could be experimentally shown that 5-caffeoyl quinic acid and epicatechin reduce the binding constant between SARS CoV-2 spike protein of the alpha variant and the ACE-2 receptor by a factor of ten. The finding could as well be applied to black tea and a coffee beverage with dietary 5-CQA concentrations for the alpha variant Spike protein. Hence it can be speculated that a cup of coffee reduces binding of the virus to its human target, therefore reducing the likelihood of infection with SARS CoV-2, acting as a virus entry-inhibitor.",crossref
SRC_002,"Lesson learned from coronaviruses (SARS-CoV, MERS-CoV, and SARS-CoV-2) and socioeconomic impact of (SARS-CoV-2) pandemic","M.K. Verma, Y.K. Verma, H.S. Mann, Thomas Briese, Rashmi Chowdhary",2022,Advanced Biosensors for Virus Detection,10.1016/b978-0-12-824494-4.00019-9,https://doi.org/10.1016/b978-0-12-824494-4.00019-9,"Infections and infectious diseases are inevitable, and we have experienced a series of viral outbreaks in the last two decades. Earlier in 1918, the influenza pandemic has completely changed the healthcare system and daily life. The episode of severe acute respiratory syndrome coronavirus (SARS-CoV) in 2003 and Middle East respiratory syndrome coronavirus (MERS-CoV) less than ten years later highlights the significant threat of coronaviruses to humans and confirms that the SARS outbreak was not an isolated incident. With the ever-increasing diversity of animal coronavirus species, especially within bats, the likelihood of recombination leading to future outbreaks is high, and the threat of potential pandemics is real as highly pathogenic coronaviruses continue to spill over from zoonotic sources into the human population. The SARS-CoV, MERS-CoV, and the ongoing severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) are the virulent pathogens that have crossed the species barrier from animals to humans and have associated disease severity and higher mortality. Nevertheless, the zoonotic spillover represents a global concern of public health burden associated with high morbidity and mortality. However, in this coronavirus disease 2019 (COVID-19) outbreak, the SARS-CoV-2 spillover events are linked to humans as accumulating evidence indicates the virus transmission by humans and establishing a person-to-person transmission chain. Given the high contagiousness and stability of the SARS-CoV-2 in the environment, it may lead to adaptation of the virus to the human host and poses the risk of sustained potential human-to-human transmission. These viral outbreaks have entirely changed human lives and responses to public health. COVID-19 pandemic opened new avenues of drug and vaccine development. The pandemic widely affected human lives, including trade, food, agriculture, education, and healthcare. The public healthcare system collapsed during pandemics across the globe and primarily due to a halt in global trade and the supply of medical utilities. The COVID-19 is not only a viral outbreak but also a failure of the healthcare system in developing and developed countries as well. The global health responses were unprecedented such as in vaccine development. COVID-19 pandemic also taught how an imbalance between human-animal habitats might turn into a nightmare.",crossref
SRC_003,"Immune Responses in SARS-CoV-2, SARS-CoV, and MERS-CoV Infections: A Comparative Review",Soussan Irani,2022,International Journal of Preventive Medicine,10.4103/ijpvm.ijpvm_429_20,https://doi.org/10.4103/ijpvm.ijpvm_429_20,"<jats:p>Coronavirus, discovered in the 1960s, is able to infect human hosts and causes mild to serious respiratory problems. In the last two decades, the severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV) and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) have been recognized. It has long been demonstrated that MERS-CoV binds to dipeptidyl peptidase 4 and SARS-CoV binds to angiotensin-converting enzyme 2. A “cytokine storm” is the main pathophysiology of aforementioned viruses. Infiltration of neutrophils at the site of the infection is a risk factor for the development of acute respiratory distress syndrome and death. The new coronavirus, SARS-CoV-2, has infected more people than SARS-Cov and MERS-CoV as it can easily be transmitted from person to person. Epidemiological studies indicate that majority of individuals are asymptomatic; therefore, an effective and an efficient tool is required for rapid testing. Identification of various cytokine and inflammatory factor expression levels can help in outcome prediction. In this study we reviewed immune responses in SARS-CoV, Mers-CoV, and SARS-COV-2 infections and the role of inflammatory cells.</jats:p>",crossref
SRC_004,Performance comparison between Elecsys Anti-SARS-CoV-2 and Anti-SARS-CoV-2 S and Atellica IM SARS-CoV-2 Total and SARS-CoV-2 IgG assays,"Seri Jeong, Yoo Rha Hong, Hyunyong Hwang",2022,Kosin Medical Journal,10.7180/kmj.22.114,https://doi.org/10.7180/kmj.22.114,"<jats:p>Background: Although serological severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) tests from several manufacturers have been introduced in South Korea and some are commercially available, the performance of these test kits has not yet been sufficiently validated. Therefore, we compared the performance of Elecsys Anti-SARS-CoV-2 (ACOV2) and Anti-SARS-CoV-2 S (ACOV2S) and Atellica IM SARS-CoV-2 Total (COV2T) and SARS-CoV-2 IgG (sCOVG) serological tests in this study.Methods: A total of 186 patient samples were used. For each test, we analyzed the positive rate of serological antibody tests, precision, linearity, and agreement among the four assays.Results: The positive rates of COV2T, sCOVG, and ACOV2S were high (81.7%–89.2%) in total, with those for ACOV2S being the highest, while those of ACOV2 were as low as 44.6%. This may be related to the high completion rate of vaccination in Korea. The repeatability and within-laboratory coefficients of variation were within the claimed allowable imprecision; however, further research is needed to establish an allowable imprecision at low concentrations. COV2T showed a linear fit, whereas sCOVG and ACOV2S were appropriately modeled with a nonlinear fit. Good agreement was found among COV2T, sCOVG, and ACOV2S; however, the agreement between ACOV2 and any one of the other methods was poor.Conclusions: Considering the different antigens used in serological SARS-CoV-2 antibody assays, the performance of the tested assays is thought to show no significant difference for the qualitative detection of antibodies to SARS-CoV-2. </jats:p>",crossref
SRC_005,Antibody Found in Mice Neutralizes SARS-CoV-2 and SARS-CoV-1,Howard D. Larkin,2022,JAMA,10.1001/jama.2022.14711,https://doi.org/10.1001/jama.2022.14711,"Researchers have identified an antibody that broadly neutralized all tested SARS-CoV-2 subvariants as well as SARS-CoV-1 in laboratory experiments and several SARS-CoV-2 variants of concern in mice. Because it targets a spike protein area that may be less affected by genetic variations, the newly discovered antibody could better retain potency against emerging SARS-CoV-2 subvariants and future coronaviruses, if developed into therapeutic products.

Most current SARS-CoV-2 therapeutic antibodies work by binding to proteins in the virus receptor binding domain (RBD) that target angiotensin-converting enzyme 2 (ACE2). This blocks the virus from attaching to ACE2 on host cell membranes. But as the virus has evolved, multiple genetic variations have altered the ACE2-binding proteins so much that most current antibodies no longer block them effectively.

By contrast, the recently discovered SW186 antibody binds to an outer RBD region that does not attach to ACE2. That this RBD area was conserved not only as SARS-CoV-2 evolved but also in the related SARS-CoV-1 suggests that it may control an important function likely to be conserved in future variants and SARS coronaviruses.

Researchers found SW186 by isolating a panel of SARS-CoV-2 antibodies from mice immunized with the viral spike protein. Laboratory tests showed that only SW186 and 1 other antibody neutralized all the SARS-CoV-2 variants tested, including HU-1, Alpha, Beta, Delta, Gamma, Lambda, Mu, and Omicron, though its potency against Omicron BA.2.12.1, BA.4, and BA.5 was reduced. SW186 also neutralized SARS-CoV-1.

SW186 greatly reduced SARS-CoV-2 Alpha, Beta, and Delta viral loads in the lungs of mice, and protected the lungs from viral damage and inflammatory cell infiltration. It also prevented body weight loss from the Delta variant.

“Further structure-based engineering of SW186 may lead to development of more broadly effective antibodies against the circulating and future SARS viruses,” the authors wrote in Science Immunology.",crossref
SRC_006,Editorial: SARS-CoV-2 in water,"Eiji Haramoto, Gertjan Medema, John Scott Meschke, Susan Petterson",2022,SARS-CoV-2 in Water,10.2166/9781789064445_ch1,https://doi.org/10.2166/wh.2022.001,"We are delighted to share with you our special issue on SARS-CoV-2 in water, specifically targeted towards our Journal readership. Cutting-edge studies and reviews on the water-related health aspects of SARS-CoV-2 have been contributed by our research community related to the potential risk of waterborne COVID-19 transmission, household water uses, and hygiene during the pandemic, and surveillance of SARS-CoV-2 RNA in wastewater.

RISK OF WATERBORNE TRANSMISSION Listen In the early days of the pandemic, when shedding of virus with faeces was identified, the most critical question that needed to be addressed was: Does SARS-CoV-2 in water and wastewater present a risk to human health? Could water-based exposures, for example to plumbing workers and wastewater treatment plant operators, present a transmission pathway that needs to be managed?

While several lines of evidence emerged, indicating that there is likely minimal risk via waterborne exposure (including the lack of epidemiological signal of cases amongst wastewater workers, the lack of evidence of infectious virus in wastewater, and the lack of evidence of SARS-CoV-2 persistence in water or wastewater), this topic is still frequently raised for discussion from various sectors of the community. Included in this special issue is an invited review by Professor Mark Sobsey on the risk of COVID19 via faecal waste, wastewater, and water exposures (Sobsey 2022). We would like to express our gratitude to Mark for taking the time to undertake this important review and document his perspective on the available evidence for the benefit of our readership.

Of course, scientific evidence grows rapidly with ongoing research efforts and there is a need to stay alert and open-minded should there be a need to revisit. With that in mind, we commend to you a study from Dey et al. (2022) investigating the potential role of amoebae in the environmental persistence of SARS-CoV-2 virus. Understanding the microbial ecology of water systems and the interaction between different microorganisms is of great value and is important for managing the waterborne risk of several pathogens (from SARS-CoV-2 or other RNA viruses) in the future.

HOUSEHOLD WATER USE AND COMPLIANCE WITH PUBLIC HEALTH ADVICE Listen Public health interventions to limit person-to-person transmission including stay-at-home orders, social distancing, and handwashing were implemented swiftly and globally at the start of the COVID-19 pandemic, with varying degrees of success. As a result of these interventions, water usage patterns changed both due to stay-at-home orders and an increase in water demand for hand washing. The interaction between water availability and compliance with public health orders became the focus of interesting research.

Kumpel et al. (2022) investigated household water usage patterns in Hubballi-Dharwad, India during 2020–2021. One-quarter of all households reported insufficient water for handwashing, suggesting that the increased demand for water was not being met. Their results showed that water insecurity negatively affected a household's ability to adhere to protective public health measures during the COVID-19 pandemic and highlighted the importance of access to uninterrupted, on-premises water during public health emergencies.

When a household water supply is insufficient or interrupted, there is a need to leave the household to obtain an essential water supply. Leaving the home increases person-to-person interactions in the community, and this is exacerbated when needing to visit public water and sanitation facilities where physical distancing is often not possible. Denpetkul et al. (2021) report a quantitative risk assessment highlighting the risks of person-to-person spread within public toilet facilities.

Handwashing is a simple and effective hygiene measure. Biswas & Karmakar (2022) analysed data from a recent National Sample Survey for India to assess trends in handwashing across the country. They considered a very broad range of factors including caste, class, monthly expenditure, religion, together with water and sanitation access criteria. They showed clearly that handwashing throughout India is far from universal, and sections of the population with poor handwashing practices are relatively more vulnerable during the COVID-19 pandemic. Identification of these vulnerable sections of the population is of great value for intervention.

WASTEWATER SURVEILLANCE Listen While disease surveillance via analysis of wastewater is far from new, the rate of growth in the implementation of wastewater surveillance since the beginning of the COVID-19 pandemic has been extraordinary. Wastewater molecular biology has moved into the spotlight of the scientific arena, gaining attention, interest, and critique like never before. The importance of these activities for our research community, as well as for supporting the public health response to the pandemic, is reflected in the large number of papers in this special issue specifically focussing on wastewater surveillance.

Since the beginning of 2020, wastewater surveillance programmes have been implemented in 58 countries (COVIDPoops19 Dashboard|covid19wbec.org). Given this rapid global expansion of predominantly new programmes, Tlhagale et al. (2022) reported on the logistics, implementation, advantages, and limitations of national surveillance programmes. A range of countries were included with specific details on the situation in England, the Netherlands, Turkey, and South Africa. In all case studies, the aim of the surveillance programme was to provide scientific evidence regarding the trends in the circulation of SARS-CoV-2 in communities. Wastewater monitoring data has been recognised as an important thread of scientific evidence for public health authorities; however prior to the current pandemic, many decision-makers were unfamiliar with the science behind wastewater surveillance. The unique nature of molecular data coupled with the diversity of methods applied has meant that scientific details are not simple or trivial. This has presented a unique challenge for our scientific community needing to bridge the gap in translating our science for decision-making, accurately, quickly, and effectively. This is particularly addressed by Tlhagale et al. (2022) who comment that ‘communication and knowledge dissemination have been demanding and time-consuming for the researchers and scientists working on the topic in all four case studies, which shows an area to better prepare for and support in the future’.

In further support of research translation, we include an excellent review prepared by Hrudey & Conant (2022) drawing on their experience with the Canadian Water Network (CWN) Wastewater Coalition. Hrudey & Conant (2022) argue that appropriate interpretation of wastewater data for public health decision-makers requires an understanding of the importance of different knowns and unknowns. They seek to unpack these details by reviewing the literature regarding the strengths and limitations of wastewater surveillance for SARS-CoV-2 towards the goal of ensuring findings serve needs of public health authorities. In conclusion, it is noted that ‘Perhaps one of the enduring benefits from all of the WBS initiatives has been that it required and achieved extensive interdisciplinary collaboration between environmental scientists/engineers and public health professionals.’ This is a welcome and needed avenue of growth for our entire scientific community.

In addition to these broader reviews, this special edition includes a selection of important individual scientific studies from Brazil, Austria, Hungary, Australia, and Japan, with each touching on different key aspects of wastewater surveillance.

Barbosa et al. (2022) used their wastewater surveillance programme to assess trends in SARS-CoV-2-RNA in four vulnerable urban communities (informal settlements and low-income neighbourhoods) in metropolitan Sao Paulo. They were able to positively correlate new cases of COVID-19 with N1 viral loads from the two largest communities. This study provides important and detailed information regarding the performance of their analytical methods, a valuable addition to this high-quality scientific study. Barbosa et al. (2022) comment that ‘Poor sanitation conditions, water scarcity, hyper-dense dwellings, crowded household, lack of health care access, among other factors, make urban slums and other vulnerable communities major COVID-9 hotspots and relevant areas for application of wastewater surveillance.’ Limited studies have been reported in these contexts; however, many programmes are currently ongoing in several LMICs including Pakistan, Nepal, Malawi and Indonesia, and therefore we look forward to future publications in our journal.

Róka et al. (2022) demonstrated the use of wastewater surveillance as an efficient tool in tracing emerging SARS-CoV-2 variants of concern in Hungary, with sewage data closely correlated with the clinical emergence of B.1.1.7 cases.

In Tyrol (a federal province of Austria), wastewater monitoring programme was initiated by health authorities. Daleiden et al. (2022) report on this programme and show how wastewater surveillance provided value as an early warning system; provided independent confirmation of temporal trends in COVID-19 prevalence; enabled the assessment of the effectiveness of measures, alerted about bursts of disease activity; and provided evidence for the absence of COVID-19.

Camphor et al. (2022) report data from Australia and illustrate the interpretation of wastewater data within a more traditional epidemiologic framework used for decision support by public health professionals. They calculate odds ratios (odds of a positive detection given case notifications in the catchment) and evaluate the performance of wastewater testing as a population-level diagnostic tool.

Finally, the case study from an urban community in Japan addresses the important issue of back-calculation, which refers to the process of quantitatively interpreting community disease prevalence from wastewater data. Many studies have sought to estimate the number of cases in the community from the reported number of genome copies in a wastewater sample. Zhu et al. (2022) review the uncertainty associated with estimating the number of cases in the catchment area using back-calculation and conclude that ‘at the current stage, the uncertainty associated with the wastewater viral load is still a great hindrance to reliable back-calculation’. Their results, however, demonstrate a strong correlation between virus detection and reported cases, which they argue may guide towards novel wastewater surveillance strategies.

PATH Listen PATH, with support from the Bill & Melinda Gates Foundation, is delighted to sponsor this very important special issue on SARS-CoV-2 in water, which gathers articles highlighting the role that water plays in transmission, control, and surveillance of SARS-CoV-2 and reflects on the challenges encountered in different settings.

PATH is a global non-profit organisation dedicated to achieving health equity. We believe that wastewater-based surveillance and more broadly environmental surveillance can provide a cost-effective tool for disease surveillance in countries where clinical surveillance is severely hampered by limited resources and where the population get delayed access to vaccines. However, integrating non-sewered areas and the resulting variety of sample types in wastewater surveillance systems increases challenges in implementation with the interpretation of data. With funding from the Bill & Melinda Gates Foundation and the Global Innovation Fund, PATH is supporting groups in Indonesia, Malawi, Nepal, and Pakistan to set up and implement wastewater-based surveillance of SARS-CoV-2 and to estimate the costs and cost-effectiveness of environmental surveillance, which is essential for scale-up and buy-in by public health authorities.

PATH has been supporting water sanitation and hygiene (WASH) with several projects, and acknowledges the topics presented in this issue which highlight the importance of WASH in the control of the transmission of the disease and as a factor of inequities. We are also pleased to see the representation of articles presenting wastewater surveillance initiatives and use cases from high-income countries but also from low-resource settings, where wastewater surveillance could potentially have the greatest impact. Several articles discuss the challenges of interpreting wastewater data, highlighting some of the barriers to wastewater surveillance data-based public health decision-making. This is an issue that will need to be addressed to build momentum from the SARS-CoV2 pandemic.",crossref
SRC_007,The Effect of COVID-19 Infection on Orofacial Pain: A Cross-sectional Study.,"Shiyang Zhuang, Hongyan Li, Yiming Lin, Mei Huang, Wenming Zhang, Xuehui Zhang, Yunzhi Lin, Chaofan Zhang",2025,International dental journal,10.1016/j.identj.2024.07.007,https://pubmed.ncbi.nlm.nih.gov/39098481/,"COVID-19 infection shows variant symptoms apart from respiratory symptoms, including the orofacial pain. We aim to research the morbidity, characteristics and potential risk factors of orofacial pain associated with COVID-19 pandemic in China from December 2022 to early 2023. A cross-sectional survey was conducted in Fujian Province, China. The demographic and characteristic data of the subjects were collected and analysed. A total of 1526 subjects responded to the survey. The morbidity of orofacial pain increased significantly before and after COVID-19 infection. (42.26% vs. 46.52%, P < .001) A total of 217 (14.22%) subjects with orofacial pain before COVID-19 infection reported the phenomenon of ""COVID-19 infection with orofacial pain"" (CIOP). Univariate and multivariate logistic regression showed that male (OR = 1.761, P < .001) and other symptoms of COVID-19 (OR = 1.494, P < .001) may be the risk factors for the aggravation of CIOP, while the time of first infection (OR = 0.580, P = .004) and preference for drinking tea or coffee (OR = 0.610, P = .003) may be the protective factors for the aggravation of CIOP. While, the subjects who did not concern about the spread of COVID-19 in oral treatment (OR = 0.639, P = .001), female (OR = 0.749, P = .03), education level (OR = 1.687, P < .001) and income level (OR = 1.796, P < .001), higher PSS-10 score (OR = 1.076, P < .001), and more drugs taken for infection (OR = 1.330, P < .001) were more willing to seek medical treatment. The morbidity of orofacial pain appears to have increased significantly due to the COVID-19 epidemic; a number of factors can influence the CIOP including gender, infection period, and beverage preference' psychological factors, gender, education and income level can also influence the intent to seek a dentist.",pubmed
SRC_008,Assessing parosmia patients: a study on the evaluation method using a self-administered odor questionnaire for parosmia.,"M Tei, E Mori, N Yonezawa, Y Kishimoto, H Tanaka, N Yanagi, Y Tsurumoto, M Nagai, R Sekine, N Otori, K Tsuzuki",2024,Rhinology,10.4193/Rhin24.080,https://pubmed.ncbi.nlm.nih.gov/39066645/,"Parosmia symptoms are difficult to quantify due to their heterogeneity among patients, and thus a clinical challenge. This study aimed to assess parosmia with Self-Administered Odor Questionnaire for Parosmia (SAOQ-P), a modification of the widely used SAOQ in Japan. The primary objective was to assess the effectiveness of SAOQ-P in identifying parosmia symptoms and its potential integration into the clinical assessment process. The study also explored traditional olfactory test differences between patients with and without parosmia. Patients at Jikei Smell Clinic that presented between May 2022 and November 2022 were recruited and administered the SAOQ-P, which had an added question about changes in the perception of 20 daily odors compared to the original SAOQ. Traditional olfactory tests utilized T&T olfactometry and Open Essence. Of 279 patients, 81 had parosmia, while 198 did not exhibit parosmic symptoms. Parosmia prevalence was influenced by the cause of olfactory dysfunction, with post-infectious and post-COVID-19 patients showing higher parosmia rates. Among parosmia patients, 87% reported changes in their perception of at least one odor assessed by SAOQ-P, with coffee, stool, and perfume most commonly affected. Traditional olfactory tests showed no significant differences between parosmia and non-parosmia groups. The number of odors causing parosmia was negatively correlated with age. SAOQ-P offers a promising approach to assess and quantify parosmia symptoms, seamlessly integrating into clinical assessments. SAOQ-P identified parosmia in 87% of patients and revealed insights into triggering factors. Traditional olfactory tests' limitations underscore the need for more accurate, patient-centric diagnostic approaches for parosmia.",pubmed
SRC_009,Coffee and Green Tea Consumption With the Risk of COVID-19 Among the Vaccine Recipients in Japan: A Prospective Study.,"Zobida Islam, Shohei Yamamoto, Tetsuya Mizoue, Maki Konishi, Norio Ohmagari",2024,Journal of epidemiology,10.2188/jea.JE20230231,https://pubmed.ncbi.nlm.nih.gov/38346747/,"While coffee and green tea have been suggested to have immunoprotective effects, it remains elusive whether they can decrease the risk of coronavirus disease 2019 (COVID-19). We prospectively examined the associations of coffee and green tea consumption with the risk of COVID-19 among mRNA vaccine recipients during the epidemic of the Omicron variant. Participants were 2,110 staff (aged 18 to 76 years) of a large medical facility in Tokyo, who attended a serosurvey in June 2022, predominantly received ≥3 doses of vaccine, and were followed for COVID-19 until December 2022. Coffee and green tea consumption was ascertained via a questionnaire. COVID-19 was identified through the in-house registry. Cox proportional hazards model was used to estimate the hazard ratios (HRs) of COVID-19 across the categories of beverage consumption. During 6 months of follow-up, 225 (10.6%) cases of COVID-19 were identified. Contrary to the expectation, higher consumption of coffee was associated with a significant increase in the risk of COVID-19; multivariable-adjusted HRs were 1.00 (reference), 0.92 (95% confidence interval [CI], 0.62-1.35), 1.48 (95% CI, 0.99-2.22), and 1.82 (95% CI, 1.20-2.76) for <1 cup/day, 1 cup/day, 2 cups/day, and ≥3 cups/day, respectively (P trend = 0.003). Green tea consumption was not significantly associated with the risk of COVID-19. The association with coffee was attenuated if serologically detected infection was added to the cases. In a cohort of Japanese hospital staff who received COVID-19 vaccine, higher consumption of coffee was associated with an increased risk of COVID-19 during the epidemic of the Omicron variant. There was no evidence of a significant association between green tea consumption and COVID-19 risk.",pubmed
SRC_010,Development of New Stringency Indices for Nonpharmacological Social Distancing Policies Implemented in Korea During the COVID-19 Pandemic: Random Forest Approach.,"Catherine Apio, Kyulhee Han, Doeun Lee, Bogyeom Lee, Taesung Park",2024,JMIR public health and surveillance,10.2196/47099,https://pubmed.ncbi.nlm.nih.gov/38190233/,"In the absence of an effective treatment method or vaccine, the outbreak of the COVID-19 pandemic elicited a wide range of unprecedented restriction policies aimed at mitigating and suppressing the spread of the SARS-CoV-2 virus. These policies and their Stringency Index (SI) of more than 160 countries were systematically recorded in the Oxford COVID-19 Government Response Tracker (OxCGRT) data set. The SI is a summary measure of the overall strictness of these policies. However, the OxCGRT SI may not fully reflect the stringency levels of the restriction policies implemented in Korea. Korea implemented 33 COVID-19 restriction policies targeting 4 areas: public facilities, public events, social gatherings, and religious gatherings. This study aims to develop new Korea Stringency Indices (KSIs) that reflect the stringency levels of Korea's restriction policies better and to determine which government-implemented policies were most effective in managing the COVID-19 pandemic in Korea. The random forest method was used to calculate the new KSIs using feature importance values and determine their effectiveness in managing daily COVID-19 confirmed cases. Five analysis periods were considered, including November 01, 2020, to January 20, 2021 (Period 1), January 20, 2021, to June 27, 2021 (Period 2), November 01, 2020, to June 27, 2021 (Period 3), June 27, 2021, to November 01, 2021 (Period 4), and November 01, 2021, to April 24, 2022 (Period 5). Among the KSIs, public facilities in period 4, public events in period 2, religious gatherings in periods 1 and 3, and social gatherings in period 5 had the highest importance. Among the public facilities, policies associated with operation hour restrictions in cinemas, restaurants, PC rooms, indoor sports facilities, karaoke, coffee shops, night entertainment facilities, and baths or saunas had the highest importance across all analysis periods. Strong positive correlations were observed between daily confirmed cases and public facilities, religious gatherings, and public events in period 1 of the pandemic. From then, weaker and negative correlations were observed in the remaining analysis periods. The comparison with the OxCGRT SI showed that the SI had a relatively lower feature importance and correlation with daily confirmed cases than the proposed KSIs, making KSIs more effective than SI. Restriction policies targeting public facilities were the most effective among the policies analyzed. In addition, different periods call for the enforcement of different policies given their effectiveness varies during the pandemic.",pubmed
