Indice,texto,id_paper
30,"Estudio encuentra que el café inhibe el SARS-Cov-2 La única medida de protección frente al Covid-19 es la vacuna  Aunque dicho estudio fue publicado en el 2022, éste no ha sido avalado por la OMS. Los expertos consultados aseguran que no hay ninguna relación entre el Covid-19 y el café. En el 2020, el mundo se...",SRC_001
751,"Falla en el Pacífico causará terremoto en Ecuador, Colombia o Perú No es posible predecir un terremoto, el post no tiene fundamento científico  Hay un estudio sobre filtraciones en el lecho marino; sin embargo, no se menciona nada de terremotos y dichas investigaciones siguen en proceso.  Los desastres naturales han sido un blanco...",SRC_012
1747,"Los supervivientes del #Covid19 podrían tener mayor riesgo en estos casos. La información sale de un estudio a gran escala (más de 1,25 millones de registros) de la Universidad de Oxford. Los supervivientes del #Covid19 podrían tener mayor riesgo en estos casos. La información sale de un estudio a gran escala (más de 1,25 millones de registros) de la Universidad de Oxford.",SRC_020
2402,Es falso que las gárgaras de sal evitan el contagio de Covid19. La investigación del científico alemán Clemens Wendtner comprobó el alto nivel de concentración del virus en la garganta. #NoComasCuento Es falso que las gárgaras de sal evitan el contagio de Covid19. La investigación del científico alemán Clemens Wendtner comprobó el alto nivel de concentración del virus en la garganta. #NoComasCuento,SRC_031
2458,#NoComasCuento de acuerdo a la @WHO la #COVID19 afecta al sistema respiratorio. El rumor nace de la interpretación de un estudio realizado en el Hospital Policlínico de Milán (Italia). Revisa a detalle el origen de este contenido engañoso: #NoComasCuento de acuerdo a la @WHO la #COVID19 afecta al sistema respiratorio. El rumor nace de la interpretación de un estudio realizado en el Hospital Policlínico de Milán (Italia). Revisa a detalle el origen de este contenido engañoso:,SRC_091
2528,"Francia identificó una nueva variante, pero todavía está en estudios y no se puede saber si es más infecciosa o no. Los expertos especifican que se trata de una de las dos derivadas de la B.1.640 que se había localizado en la República del Congo. #IHU Francia identificó una nueva variante, pero todavía está en estudios y no se puede saber si es más infecciosa o no. Los expertos especifican que se trata de una de las dos derivadas de la B.1.640 que se había localizado en la República del Congo. #IHU",SRC_047
2704,"#LoMásVisto | Pfizer y BioNTech pidieron oficialmente la autorización. De acuerdo con un estudio israelí, un refuerzo de la vacuna aumenta la respuesta inmunitaria y disminuye las tasas de infecciones y enfermedades graves ocasionados por el #Covid19. #LoMásVisto | Pfizer y BioNTech pidieron oficialmente la autorización. De acuerdo con un estudio israelí, un refuerzo de la vacuna aumenta la respuesta inmunitaria y disminuye las tasas de infecciones y enfermedades graves ocasionados por el #Covid19.",SRC_062
2720,"Pfizer y BioNTech pidieron oficialmente la autorización. De acuerdo con un estudio israelí, un refuerzo de la vacuna aumenta la respuesta inmunitaria y disminuye las tasas de infecciones y enfermedades graves ocasionados por el #Covid19. Pfizer y BioNTech pidieron oficialmente la autorización. De acuerdo con un estudio israelí, un refuerzo de la vacuna aumenta la respuesta inmunitaria y disminuye las tasas de infecciones y enfermedades graves ocasionados por el #Covid19.",SRC_062
2839,"La investigación se hizo en el Hospital Jin Yin-tan, de Wuhan. Dos años después de que el mundo ha convivido con el coronavirus, este estudio afirma que el 55% de hospitalizados reportaron al menos un síntoma del #Covid19. Lee la verificación completa: La investigación se hizo en el Hospital Jin Yin-tan, de Wuhan. Dos años después de que el mundo ha convivido con el coronavirus, este estudio afirma que el 55% de hospitalizados reportaron al menos un síntoma del #Covid19. Lee la verificación completa:",SRC_065
2885,"#LoMásVisto | Un pequeño estudio científico en Qatar habla del tema, pero aún está en revisión. 30.000 trabajadores de la salud participaron. La OMS afirma que la vacuna contra la influenza no protege contra el #Covid19. #LoMásVisto | Un pequeño estudio científico en Qatar habla del tema, pero aún está en revisión. 30.000 trabajadores de la salud participaron. La OMS afirma que la vacuna contra la influenza no protege contra el #Covid19.",SRC_072
